player,stat,line,opponent,game_date,risk_type
Jalen Brunson,PRA,33.5,SAS,2026-06-13,GOBLIN
Jalen Brunson,PRA,34.5,SAS,2026-06-13,GOBLIN
Jalen Brunson,PRA,35.5,SAS,2026-06-13,GOBLIN
Jalen Brunson,PRA,39.5,SAS,2026-06-13,DEMON
Jalen Brunson,PRA,44.5,SAS,2026-06-13,DEMON
Jalen Brunson,PRA,49.5,SAS,2026-06-13,DEMON

Karl-Anthony Towns,PTS,16.5,SAS,2026-06-13,NORMAL
Karl-Anthony Towns,PTS,12.5,SAS,2026-06-13,GOBLIN
Karl-Anthony Towns,PTS,13.5,SAS,2026-06-13,GOBLIN
Karl-Anthony Towns,PTS,14.5,SAS,2026-06-13,GOBLIN
Karl-Anthony Towns,PTS,15.5,SAS,2026-06-13,GOBLIN
Karl-Anthony Towns,PTS,19.5,SAS,2026-06-13,DEMON
Karl-Anthony Towns,PTS,21.5,SAS,2026-06-13,DEMON
Karl-Anthony Towns,PTS,23.5,SAS,2026-06-13,DEMON
Karl-Anthony Towns,PTS,24.5,SAS,2026-06-13,DEMON

Jose Alvarado,PRA,7.5,SAS,2026-06-13,NORMAL
Jose Alvarado,PRA,4.5,SAS,2026-06-13,GOBLIN
Jose Alvarado,PRA,5.5,SAS,2026-06-13,GOBLIN
Jose Alvarado,PRA,6.5,SAS,2026-06-13,GOBLIN
Jose Alvarado,PRA,7.5,SAS,2026-06-13,GOBLIN
Jose Alvarado,PRA,9.5,SAS,2026-06-13,DEMON
Jose Alvarado,PRA,11.5,SAS,2026-06-13,DEMON
Jose Alvarado,PRA,14.5,SAS,2026-06-13,DEMON
De'Aaron Fox,PTS,15,NYK,2026-06-13,NORMAL
De'Aaron Fox,PTS,10.5,NYK,2026-06-13,GOBLIN
De'Aaron Fox,PTS,11.5,NYK,2026-06-13,GOBLIN
De'Aaron Fox,PTS,12.5,NYK,2026-06-13,GOBLIN
De'Aaron Fox,PTS,13.5,NYK,2026-06-13,GOBLIN
De'Aaron Fox,PTS,17.5,NYK,2026-06-13,DEMON
De'Aaron Fox,PTS,19.5,NYK,2026-06-13,DEMON
De'Aaron Fox,PTS,21.5,NYK,2026-06-13,DEMON
De'Aaron Fox,PTS,23.5,NYK,2026-06-13,DEMON
Julian Champagnie,PRA,15.5,NYK,2026-06-13,NORMAL
Julian Champagnie,PRA,11.5,NYK,2026-06-13,GOBLIN
Julian Champagnie,PRA,12.5,NYK,2026-06-13,GOBLIN
Julian Champagnie,PRA,14.5,NYK,2026-06-13,GOBLIN
Julian Champagnie,PRA,18.5,NYK,2026-06-13,DEMON
Julian Champagnie,PRA,19.5,NYK,2026-06-13,DEMON
Julian Champagnie,PRA,24.5,NYK,2026-06-13,DEMON

