sport,player,stat,line,opponent,game_date,risk_type
WNBA,Caitlin Clark,PTS,19.5,ATL,2026-06-20,NORMAL
WNBA,Sophie Cunningham,3PTM,1.5,ATL,2026-06-20,DEMON
WNBA,Natisha Hiedeman,PRA,22.5,PHX,2026-06-20,NORMAL
WNBA,Angel Reese,PTS,15.5,IND,2026-06-20,NORMAL
WNBA,Angel Reese,Pts+Rebs,27,IND,2026-06-20,NORMAL
WNBA,Rhyne Howard,Fantasy Score,33.5,IND,2026-06-20,NORMAL
WNBA,Skylar Diggins,3PTM,1.5,DAL,2026-06-20,DEMON
WNBA,Azurá Stevens,REB,6,DAL,2026-06-20,NORMAL
WNBA,Angel Reese,PRA,29.5,IND,2026-06-20,NORMAL
WNBA,Kahleah Copper,REB,3.5,SEA,2026-06-20,DEMON
WNBA,Arike Ogunbowale,PRA,21,CHI,2026-06-20,NORMAL
WNBA,Aliyah Boston,PRA,28.5,ATL,2026-06-20,NORMAL
WNBA,Paige Bueckers,Rebs+Asts,9.5,CHI,2026-06-20,DEMON
WNBA,Aliyah Boston,REB,8,ATL,2026-06-20,NORMAL
WNBA,Allisha Gray,AST,2.5,IND,2026-06-20,DEMON
WNBA,Caitlin Clark,PRA,32.5,ATL,2026-06-20,NORMAL
WNBA,Caitlin Clark,PTS,14.5,ATL,2026-06-20,GOBLIN
WNBA,Angel Reese,PTS,11.5,IND,2026-06-20,GOBLIN
WNBA,Angel Reese,Pts+Rebs,29.5,IND,2026-06-20,DEMON
WNBA,Azurá Stevens,REB,6.5,DAL,2026-06-20,DEMON
