sport,player,stat,line,opponent,game_date,risk_type
WNBA,Marina Mabrey,PRA,30.5,LAS,2026-06-25,NORMAL
WNBA,Nneka Ogwumike,PRA,30.5,TOR,2026-06-25,NORMAL
WNBA,Natisha Hiedeman,PRA,23.5,NYL,2026-06-25,NORMAL
WNBA,Dominique Malonga,PRA,24.5,NYL,2026-06-25,GOBLIN
WNBA,Dominique Malonga,PRA,34.5,NYL,2026-06-25,DEMON
WNBA,Dominique Malonga,PRA,29.5,NYL,2026-06-25,DEMON
WNBA,Awa Fam,PRA,24.5,NYL,2026-06-25,DEMON
WNBA,Breanna Stewart,PRA,31.5,SEA,2026-06-25,NORMAL
WNBA,Sabrina Ionescu,PRA,27,SEA,2026-06-25,NORMAL
WNBA,Jonquel Jones,PRA,25,SEA,2026-06-25,NORMAL
WNBA,Awa Fam,PRA,14.5,NYL,2026-06-25,GOBLIN
WNBA,A'ja Wilson,PRA,39.5,DAL,2026-06-25,NORMAL
WNBA,Jessica Shepard,PRA,30,LVA,2026-06-25,NORMAL
WNBA,Paige Bueckers,PRA,28.5,LVA,2026-06-25,NORMAL
WNBA,Jackie Young,PRA,28.5,DAL,2026-06-25,NORMAL
WNBA,Arike Ogunbowale,PRA,20.5,LVA,2026-06-25,NORMAL
WNBA,Chelsea Gray,PRA,22.5,DAL,2026-06-25,NORMAL
WNBA,Natisha Hiedeman,PRA,19.5,NYL,2026-06-25,GOBLIN
WNBA,Natisha Hiedeman,PRA,34.5,NYL,2026-06-25,DEMON
WNBA,Natisha Hiedeman,PRA,29.5,NYL,2026-06-25,DEMON
WNBA,Natisha Hiedeman,PRA,24.5,NYL,2026-06-25,DEMON
WNBA,A'ja Wilson,PRA,34.5,DAL,2026-06-25,GOBLIN
WNBA,Jessica Shepard,PRA,24.5,LVA,2026-06-25,GOBLIN
WNBA,Paige Bueckers,PRA,24.5,LVA,2026-06-25,GOBLIN
WNBA,Jackie Young,PRA,24.5,DAL,2026-06-25,GOBLIN
WNBA,Arike Ogunbowale,PRA,19.5,LVA,2026-06-25,GOBLIN
WNBA,Chelsea Gray,PRA,19.5,DAL,2026-06-25,GOBLIN
WNBA,A'ja Wilson,PRA,49.5,DAL,2026-06-25,DEMON
WNBA,Jessica Shepard,PRA,39.5,LVA,2026-06-25,DEMON
WNBA,Paige Bueckers,PRA,39.5,LVA,2026-06-25,DEMON
WNBA,Jackie Young,PRA,34.5,DAL,2026-06-25,DEMON
WNBA,Arike Ogunbowale,PRA,29.5,LVA,2026-06-25,DEMON
WNBA,Chelsea Gray,PRA,29.5,DAL,2026-06-25,DEMON
WNBA,A'ja Wilson,PRA,44.5,DAL,2026-06-25,DEMON
WNBA,Jessica Shepard,PRA,34.5,LVA,2026-06-25,DEMON
WNBA,Paige Bueckers,PRA,34.5,LVA,2026-06-25,DEMON
WNBA,Jackie Young,PRA,29.5,DAL,2026-06-25,DEMON
WNBA,Arike Ogunbowale,PRA,24.5,LVA,2026-06-25,DEMON
WNBA,Chelsea Gray,PRA,24.5,DAL,2026-06-25,DEMON
