sport,player,stat,line,opponent,game_date,risk_type
WNBA,Olivia Miles,PRA,29.5,WAS,2026-06-24,NORMAL
WNBA,Courtney Williams,PRA,24.5,WAS,2026-06-24,NORMAL
WNBA,Kayla McBride,PRA,20.5,WAS,2026-06-24,NORMAL
WNBA,Sonia Citron,PRA,22,MIN,2026-06-24,NORMAL
WNBA,Olivia Miles,PRA,27.5,WAS,2026-06-24,GOBLIN
WNBA,Courtney Williams,PRA,22.5,WAS,2026-06-24,GOBLIN
WNBA,Kayla McBride,PRA,19.5,WAS,2026-06-24,GOBLIN
WNBA,Sonia Citron,PRA,19.5,MIN,2026-06-24,GOBLIN
WNBA,Olivia Miles,PRA,24.5,WAS,2026-06-24,GOBLIN
WNBA,Courtney Williams,PRA,19.5,WAS,2026-06-24,GOBLIN
WNBA,Kayla McBride,PRA,18.5,WAS,2026-06-24,GOBLIN
WNBA,Sonia Citron,PRA,27.5,MIN,2026-06-24,DEMON
WNBA,Olivia Miles,PRA,39.5,WAS,2026-06-24,DEMON
WNBA,Courtney Williams,PRA,34.5,WAS,2026-06-24,DEMON
WNBA,Kayla McBride,PRA,29.5,WAS,2026-06-24,DEMON
WNBA,Sonia Citron,PRA,24.5,MIN,2026-06-24,DEMON
WNBA,Olivia Miles,PRA,34.5,WAS,2026-06-24,DEMON
WNBA,Courtney Williams,PRA,29.5,WAS,2026-06-24,DEMON
WNBA,Kayla McBride,PRA,26.5,WAS,2026-06-24,DEMON
WNBA,Olivia Miles,PRA,33.5,WAS,2026-06-24,DEMON
WNBA,Courtney Williams,PRA,28.5,WAS,2026-06-24,DEMON
WNBA,Kayla McBride,PRA,24.5,WAS,2026-06-24,DEMON
