sport,player,stat,line,opponent,game_date,risk_type
WNBA,Michaela Onyenwere,PTS,11.5,CON,2026-06-17,DEMON
WNBA,Michaela Onyenwere,PTS,10,CON,2026-06-17,NORMAL
WNBA,Shakira Austin,PRA,26,CON,2026-06-17,NORMAL
WNBA,Saniya Rivers,PTS,9,WAS,2026-06-17,NORMAL
WNBA,Aneesah Morrow,REB,10.5,WAS,2026-06-17,DEMON
WNBA,Michaela Onyenwere,PRA,15.5,CON,2026-06-17,NORMAL
WNBA,Natisha Hiedeman,PTS,13.5,PDX,2026-06-17,NORMAL
WNBA,Natisha Hiedeman,PRA,20.5,PDX,2026-06-17,NORMAL
WNBA,Natisha Hiedeman,PTS,9.5,PDX,2026-06-17,GOBLIN
WNBA,Natisha Hiedeman,PTS,14.5,PDX,2026-06-17,DEMON
WNBA,Kelsey Plum,PRA,28.5,MIN,2026-06-17,NORMAL
WNBA,Olivia Miles,PRA,30.5,LAS,2026-06-17,NORMAL
WNBA,Courtney Williams,PRA,26,LAS,2026-06-17,NORMAL
WNBA,Natasha Howard,PRA,27.5,LAS,2026-06-17,NORMAL
WNBA,Nneka Ogwumike,PRA,28,MIN,2026-06-17,NORMAL
WNBA,Dearica Hamby,PRA,25.5,MIN,2026-06-17,NORMAL
WNBA,Kayla McBride,PRA,21.5,LAS,2026-06-17,NORMAL
WNBA,Nia Coffey,PRA,16,LAS,2026-06-17,NORMAL
WNBA,Erica Wheeler,PRA,15.5,MIN,2026-06-17,NORMAL
WNBA,Ariel Atkins,PRA,15.5,MIN,2026-06-17,NORMAL
WNBA,Kelsey Plum,PRA,26.5,MIN,2026-06-17,GOBLIN
WNBA,Kelsey Plum,PRA,24.5,MIN,2026-06-17,GOBLIN
WNBA,Kelsey Plum,PRA,39.5,MIN,2026-06-17,DEMON
WNBA,Kelsey Plum,PRA,34.5,MIN,2026-06-17,DEMON
WNBA,Olivia Miles,PRA,27.5,LAS,2026-06-17,GOBLIN
WNBA,Olivia Miles,PRA,24.5,LAS,2026-06-17,GOBLIN
WNBA,Olivia Miles,PRA,39.5,LAS,2026-06-17,DEMON
WNBA,Olivia Miles,PRA,34.5,LAS,2026-06-17,DEMON
WNBA,Olivia Miles,PRA,33.5,LAS,2026-06-17,DEMON
WNBA,Courtney Williams,PRA,24.5,LAS,2026-06-17,GOBLIN
WNBA,Courtney Williams,PRA,19.5,LAS,2026-06-17,GOBLIN
WNBA,Courtney Williams,PRA,34.5,LAS,2026-06-17,DEMON
WNBA,Courtney Williams,PRA,29.5,LAS,2026-06-17,DEMON
WNBA,Natasha Howard,PRA,25.5,LAS,2026-06-17,GOBLIN
WNBA,Natasha Howard,PRA,24.5,LAS,2026-06-17,GOBLIN
WNBA,Natasha Howard,PRA,34.5,LAS,2026-06-17,DEMON
WNBA,Natasha Howard,PRA,33.5,LAS,2026-06-17,DEMON
WNBA,Natasha Howard,PRA,29.5,LAS,2026-06-17,DEMON
WNBA,Nneka Ogwumike,PRA,24.5,MIN,2026-06-17,GOBLIN
WNBA,Nneka Ogwumike,PRA,19.5,MIN,2026-06-17,GOBLIN
WNBA,Nneka Ogwumike,PRA,34.5,MIN,2026-06-17,DEMON
WNBA,Nneka Ogwumike,PRA,31.5,MIN,2026-06-17,DEMON
WNBA,Nneka Ogwumike,PRA,29.5,MIN,2026-06-17,DEMON
WNBA,Dearica Hamby,PRA,19.5,MIN,2026-06-17,GOBLIN
WNBA,Dearica Hamby,PRA,29.5,MIN,2026-06-17,DEMON
WNBA,Dearica Hamby,PRA,28.5,MIN,2026-06-17,DEMON
WNBA,Kayla McBride,PRA,19.5,LAS,2026-06-17,GOBLIN
WNBA,Kayla McBride,PRA,18.5,LAS,2026-06-17,GOBLIN
WNBA,Kayla McBride,PRA,29.5,LAS,2026-06-17,DEMON
WNBA,Kayla McBride,PRA,26.5,LAS,2026-06-17,DEMON
WNBA,Kayla McBride,PRA,24.5,LAS,2026-06-17,DEMON
WNBA,Nia Coffey,PRA,14.5,LAS,2026-06-17,GOBLIN
WNBA,Nia Coffey,PRA,13.5,LAS,2026-06-17,GOBLIN
WNBA,Nia Coffey,PRA,23.5,LAS,2026-06-17,DEMON
WNBA,Nia Coffey,PRA,21.5,LAS,2026-06-17,DEMON
WNBA,Nia Coffey,PRA,19.5,LAS,2026-06-17,DEMON
WNBA,Erica Wheeler,PRA,14.5,MIN,2026-06-17,GOBLIN
WNBA,Erica Wheeler,PRA,13.5,MIN,2026-06-17,GOBLIN
WNBA,Erica Wheeler,PRA,21.5,MIN,2026-06-17,DEMON
