sport,player,stat,line,opponent,game_date,risk_type
WNBA,Sonia Citron,PRA,24.5,ATL,2026-07-02,NORMAL
WNBA,Angel Reese,PTS,14.5,WAS,2026-07-02,NORMAL
WNBA,Shakira Austin,REB,8.5,ATL,2026-07-02,DEMON
WNBA,Angel Reese,PRA,29.5,WAS,2026-07-02,NORMAL
WNBA,Paige Bueckers,PRA,30.5,CON,2026-07-02,NORMAL
WNBA,Jordin Canada,PRA,20.5,WAS,2026-07-02,NORMAL
WNBA,Natisha Hiedeman,PTS,15.5,PHX,2026-07-02,NORMAL
WNBA,Kiki Iriafen,PRA,24.5,ATL,2026-07-02,NORMAL
WNBA,Sonia Citron,PTS,19.5,ATL,2026-07-02,DEMON
WNBA,Kahleah Copper,PRA,24.5,SEA,2026-07-02,NORMAL
WNBA,Paige Bueckers,PTS,20.5,CON,2026-07-02,NORMAL
WNBA,Natisha Hiedeman,PRA,23,PHX,2026-07-02,NORMAL
WNBA,Rhyne Howard,PTS,19.5,WAS,2026-07-02,DEMON
WNBA,Flau'jae Johnson,PTS,12.5,PHX,2026-07-02,NORMAL
WNBA,Alyssa Thomas,AST,8.5,SEA,2026-07-02,NORMAL
WNBA,Sonia Citron,REB,3.5,ATL,2026-07-02,DEMON
WNBA,Sonia Citron,PRA,19.5,ATL,2026-07-02,GOBLIN
WNBA,Angel Reese,PTS,10.5,WAS,2026-07-02,GOBLIN
WNBA,Shakira Austin,REB,8,ATL,2026-07-02,NORMAL
WNBA,Paige Bueckers,PTS,22.5,CON,2026-07-02,DEMON
